username1,username2,link1,link2,comparison_type,ssim,features2d
huayifang,lostkuma,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,maps,43.8,89.2
huayifang,pjt90,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,maps,90.1,93.4
huayifang,sauravn,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,maps,58.6,91.8
huayifang,megamindhenry,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,75.5,97.0
huayifang,tanmayee123,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,86.7,96.9
huayifang,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,55.8,97.3
lostkuma,pjt90,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,maps,46.3,87.2
lostkuma,sauravn,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,maps,52.3,85.1
lostkuma,megamindhenry,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,38.6,89.3
lostkuma,tanmayee123,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,59.5,92.3
lostkuma,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,31.8,78.1
pjt90,sauravn,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,maps,66.5,93.0
pjt90,megamindhenry,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,82.1,97.0
pjt90,tanmayee123,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,95.1,93.7
pjt90,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,61.6,93.3
sauravn,megamindhenry,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,maps,52.9,92.4
sauravn,tanmayee123,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,73.2,95.0
sauravn,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,39.4,100.0
megamindhenry,tanmayee123,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,maps,71.3,97.3
megamindhenry,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-megamindhenry/index.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,49.4,98.0
tanmayee123,2016-Purdue-Ironhack-Tutorials,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-tanmayee123/map.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,58.5,97.5
aterriqu,christyyy,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-christyyy.herokuapp.com/,complete,100.0,100.0
aterriqu,crloflin,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-crloflin.herokuapp.com/,complete,100.0,100.0
aterriqu,dengc,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-dengc.herokuapp.com/,complete,100.0,100.0
aterriqu,huayifang,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-huayifang.herokuapp.com/index.html,complete,38.8,100.0
aterriqu,lheston,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-lheston.herokuapp.com/,complete,100.0,100.0
aterriqu,lostkuma,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-lostkuma.herokuapp.com/index.html,complete,53.5,100.0
aterriqu,mgogte,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-mgogte.herokuapp.com/IronHack.html,complete,65.7,100.0
aterriqu,pjt90,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-pjt90.herokuapp.com/homepage.html,complete,53.6,100.0
aterriqu,sauravn,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-sauravn.herokuapp.com/index.html,complete,43.8,100.0
aterriqu,shiboo18,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-shiboo18.herokuapp.com/,complete,100.0,100.0
aterriqu,taycurt17,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-taycurt17.herokuapp.com/,complete,100.0,100.0
aterriqu,wluan,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack-wluan.herokuapp.com/,complete,100.0,100.0
aterriqu,abelal16,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-abelal16/index.html,complete,38.6,100.0
aterriqu,ankitbatheja,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-ankitbatheja,complete,91.7,100.0
aterriqu,cgrieger12,http://phase1-greenironhack-aterriqu.herokuapp.com/,http://phase1-greenironhack.herokuapp.com/p1-greenironhack-cgrieger12/index.html,complete,35.6,100.0
