username1,username2,link1,link2,comparison_type,ssim,features2d
andrewjst,andrewjst,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-andrewjst-2016.herokuapp.com/,maps,100.0,100.0
andrewjst,aorme,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-aorme-2016.herokuapp.com/,maps,8.3,48.7
andrewjst,beichhor,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-beichhor-2016.herokuapp.com/,maps,26.0,24.0
andrewjst,bfellur,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-bfellur-2016.herokuapp.com/,maps,9.0,60.1
andrewjst,corpsefact,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-corpsefact-2016.herokuapp.com/,maps,36.2,39.3
andrewjst,gillism,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-gillism-2016.herokuapp.com/,maps,20.2,85.0
andrewjst,hutchin5,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-hutchin5-2016.herokuapp.com/,maps,8.3,49.5
andrewjst,jwbalazs,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-jwbalazs-2016.herokuapp.com/,maps,47.3,46.0
andrewjst,lindunhe,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-lindunhe-2016.herokuapp.com/,maps,49.1,42.5
andrewjst,marti763,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-marti763-2016.herokuapp.com/,maps,8.3,49.5
andrewjst,mlung,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-mlung-2016.herokuapp.com/,maps,7.9,43.5
andrewjst,owen9211,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-owen9211-2016.herokuapp.com/,maps,8.3,49.5
andrewjst,peng115,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-peng115-2016.herokuapp.com/,maps,37.1,73.1
andrewjst,ravengao,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-ravengao-2016.herokuapp.com/,maps,72.5,47.8
andrewjst,ssandeep,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-ssandeep-2016.herokuapp.com/,maps,8.3,48.7
andrewjst,steven91,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-steven91-2016.herokuapp.com/,maps,60.0,61.2
andrewjst,vtung,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-vtung-2016.herokuapp.com/,maps,8.3,49.5
andrewjst,wenjiewu,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-wenjiewu-2016.herokuapp.com/,maps,60.2,52.8
andrewjst,yexin,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-yexin-2016.herokuapp.com/,maps,52.3,53.7
andrewjst,yifeitai,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-yifeitai-2016.herokuapp.com/,maps,8.3,49.5
andrewjst,yunhan,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-yunhan-2016.herokuapp.com/,maps,8.3,49.5
andrewjst,zhan1046,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-zhan1046-2016.herokuapp.com/,maps,17.1,39.8
andrewjst,zhan2709,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-zhan2709-2016.herokuapp.com/,maps,9.7,40.6
andrewjst,zhao719,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-zhao719-2016.herokuapp.com/,maps,24.7,67.2
andrewjst,zhe1994,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://goldironhack-zhe1994-2016.herokuapp.com/,maps,11.3,78.6
andrewjst,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p3-andrewjst/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,8.3,49.5
aorme,andrewjst,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-andrewjst-2016.herokuapp.com/,maps,8.0,54.2
aorme,aorme,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-aorme-2016.herokuapp.com/,maps,43.5,100.0
aorme,beichhor,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-beichhor-2016.herokuapp.com/,maps,25.6,9.6
aorme,bfellur,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-bfellur-2016.herokuapp.com/,maps,47.1,51.9
aorme,corpsefact,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-corpsefact-2016.herokuapp.com/,maps,45.9,46.3
aorme,gillism,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-gillism-2016.herokuapp.com/,maps,15.1,49.7
aorme,hutchin5,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-hutchin5-2016.herokuapp.com/,maps,43.0,100.0
aorme,jwbalazs,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-jwbalazs-2016.herokuapp.com/,maps,8.4,52.2
aorme,lindunhe,http://goldironhack2016.herokuapp.com/p3-aorme/home.html,http://goldironhack-lindunhe-2016.herokuapp.com/,maps,10.9,100.0
