username1,username2,link1,link2,average_distance,distance_between_averages
beichhor,marti763,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-marti763/home.html,,
beichhor,michaelredding,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-michaelredding/home.html,,
beichhor,mingchucong,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-mingchucong/home.html,,
beichhor,mingranli,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-mingranli/home.html,,
beichhor,mlung,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-mlung/home.html,,
beichhor,owen9211,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-owen9211/home.html,,
beichhor,peng115,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-peng115/home.html,,
beichhor,ravengao,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-ravengao/home.html,,
beichhor,ssandeep,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-ssandeep/home.html,,
beichhor,steven91,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-steven91/JavaScriptTutorial.html,,
beichhor,wenjiewu,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-wenjiewu/home.html,,
beichhor,yexin,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-yexin/home.html,,
beichhor,yifeitai,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-yifeitai/home.html,,
beichhor,yunhan,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p3-yunhan/home.html,,
