username1,username2,link1,link2,average_distance,distance_between_averages
andrewjst,aorme,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,,
andrewjst,beichhor,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,,
andrewjst,bfellur,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-bfellur/2016,,
andrewjst,corpsefact,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-corpsefact/Market.html,,
andrewjst,ditton,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-ditton/home.html,,
andrewjst,gardne16,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-gardne16/Phase2.html,,
andrewjst,gillism,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,,
andrewjst,hutchin5,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,,
andrewjst,jwbalazs,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,,
andrewjst,lindunhe,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,,
andrewjst,marti763,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,,
andrewjst,michaelredding,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-michaelredding/home.html,,
andrewjst,mingchucong,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-mingchucong/home.html,,
andrewjst,mingranli,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-mingranli/home.html,,
andrewjst,mlung,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,,
andrewjst,owen9211,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,,
andrewjst,peng115,http://goldironhack2016.herokuapp.com/p1-andrewjst/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,,
