username1,username2,link1,link2,comparison_type,ssim,features2d
abatheja,abelal16,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,96.6,69.0
abatheja,aterriqu,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,48.7,91.0
abatheja,crloflin,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,12.1,42.6
abatheja,ishtasingh,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,97.2,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,97.2,76.5
abatheja,megahenry,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-megahenry-2016.herokuapp.com/,maps,96.2,99.0
abatheja,mvaidya,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,31.9,98.0
abatheja,pjt90,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-pjt90-2016.herokuapp.com/,maps,97.1,87.9
abatheja,prachimane,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-prachimane-2016.herokuapp.com/,maps,32.4,100.0
abatheja,tanmayee123,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,96.8,70.6
abatheja,lostkuma,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://lostkuma.herokuapp.com/,maps,93.5,58.3
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
abelal16,aterriqu,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,96.5,78.1
abelal16,crloflin,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-crloflin-2016.herokuapp.com/,maps,60.4,39.0
abelal16,ishtasingh,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,99.3,100.0
abelal16,jkeilmann,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,98.5,83.0
abelal16,megahenry,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,98.1,99.0
abelal16,mvaidya,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,30.3,99.0
abelal16,pjt90,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,99.4,97.0
abelal16,prachimane,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,98.7,100.0
abelal16,tanmayee123,http://greenironhack-abelal16-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,99.7,100.0
abelal16,lostkuma,http://greenironhack-abelal16-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,88.7,65.1
abelal16,sauravn,http://greenironhack-abelal16-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
aterriqu,crloflin,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-crloflin-2016.herokuapp.com/,maps,60.0,42.7
aterriqu,ishtasingh,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,97.7,100.0
aterriqu,jkeilmann,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,97.5,70.1
aterriqu,megahenry,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,96.2,100.0
aterriqu,mvaidya,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,59.5,83.2
aterriqu,pjt90,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,97.6,92.0
aterriqu,prachimane,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,61.3,100.0
aterriqu,tanmayee123,http://greenironhack-aterriqu-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,97.1,80.7
aterriqu,lostkuma,http://greenironhack-aterriqu-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,94.8,64.5
aterriqu,sauravn,http://greenironhack-aterriqu-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
crloflin,ishtasingh,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,60.4,100.0
crloflin,jkeilmann,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,60.4,36.8
crloflin,megahenry,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,60.4,45.1
crloflin,mvaidya,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,55.9,42.3
crloflin,pjt90,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,60.4,41.0
crloflin,prachimane,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,60.4,100.0
crloflin,tanmayee123,http://greenironhack-crloflin-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,60.4,40.1
crloflin,lostkuma,http://greenironhack-crloflin-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,58.3,40.5
crloflin,sauravn,http://greenironhack-crloflin-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
ishtasingh,jkeilmann,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,99.3,100.0
ishtasingh,megahenry,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,98.6,100.0
ishtasingh,mvaidya,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,30.5,100.0
ishtasingh,pjt90,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,99.7,100.0
ishtasingh,prachimane,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,98.7,100.0
ishtasingh,tanmayee123,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,99.5,100.0
ishtasingh,lostkuma,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,82.7,100.0
ishtasingh,sauravn,http://greenironhack-ishtasingh-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
jkeilmann,megahenry,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://greenironhack-megahenry-2016.herokuapp.com/,maps,97.7,92.3
jkeilmann,mvaidya,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,30.5,93.6
jkeilmann,pjt90,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,98.9,94.3
jkeilmann,prachimane,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,98.7,100.0
jkeilmann,tanmayee123,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,98.7,79.3
jkeilmann,lostkuma,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,82.2,71.5
jkeilmann,sauravn,http://greenironhack-jkeilmann-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
megahenry,mvaidya,http://greenironhack-megahenry-2016.herokuapp.com/,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,30.2,100.0
megahenry,pjt90,http://greenironhack-megahenry-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,98.5,100.0
megahenry,prachimane,http://greenironhack-megahenry-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,98.8,100.0
megahenry,tanmayee123,http://greenironhack-megahenry-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,98.3,100.0
megahenry,lostkuma,http://greenironhack-megahenry-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,90.1,69.1
megahenry,sauravn,http://greenironhack-megahenry-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
mvaidya,pjt90,http://greenironhack-mvaidya-2016.herokuapp.com/,http://greenironhack-pjt90-2016.herokuapp.com/,maps,30.3,100.0
mvaidya,prachimane,http://greenironhack-mvaidya-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,94.3,100.0
mvaidya,tanmayee123,http://greenironhack-mvaidya-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,30.3,98.3
mvaidya,lostkuma,http://greenironhack-mvaidya-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,82.2,76.7
mvaidya,sauravn,http://greenironhack-mvaidya-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
pjt90,prachimane,http://greenironhack-pjt90-2016.herokuapp.com/,http://greenironhack-prachimane-2016.herokuapp.com/,maps,98.7,100.0
pjt90,tanmayee123,http://greenironhack-pjt90-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,99.7,100.0
pjt90,lostkuma,http://greenironhack-pjt90-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,89.1,67.0
pjt90,sauravn,http://greenironhack-pjt90-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
prachimane,tanmayee123,http://greenironhack-prachimane-2016.herokuapp.com/,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,98.7,100.0
prachimane,lostkuma,http://greenironhack-prachimane-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,90.7,100.0
prachimane,sauravn,http://greenironhack-prachimane-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
tanmayee123,lostkuma,http://greenironhack-tanmayee123-2016.herokuapp.com/,http://lostkuma.herokuapp.com/,maps,88.9,60.6
tanmayee123,sauravn,http://greenironhack-tanmayee123-2016.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
lostkuma,sauravn,http://lostkuma.herokuapp.com/,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
abatheja,dengc,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-dengc-2016.herokuapp.com/#1,charts,71.6,45.2
abatheja,dengc,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-dengc-2016.herokuapp.com/#2,charts,71.6,54.4
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#1,charts,9.6,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#10,charts,10.0,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#11,charts,20.1,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#2,charts,8.8,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#3,charts,8.8,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#4,charts,8.4,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#5,charts,7.1,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#6,charts,7.6,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#7,charts,8.1,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#8,charts,7.8,100.0
abatheja,jkeilmann,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#9,charts,5.1,100.0
abatheja,megahenry,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://greenironhack-megahenry-2016.herokuapp.com/#1,charts,82.9,42.2
abatheja,lostkuma,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://lostkuma.herokuapp.com/#1,charts,65.8,81.0
abatheja,lostkuma,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://lostkuma.herokuapp.com/#2,charts,65.8,80.4
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://sauravn-application.herokuapp.com/#1,charts,40.4,30.3
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://sauravn-application.herokuapp.com/#2,charts,40.3,26.5
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://sauravn-application.herokuapp.com/#3,charts,40.9,23.8
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://sauravn-application.herokuapp.com/#4,charts,39.4,27.1
abatheja,sauravn,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html#1,http://sauravn-application.herokuapp.com/#5,charts,40.9,21.0
dengc,dengc,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-dengc-2016.herokuapp.com/#2,charts,98.6,27.4
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#1,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#10,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#11,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#2,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#3,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#4,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#5,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#6,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#7,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#8,charts,0.0,100.0
dengc,jkeilmann,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-jkeilmann-2016.herokuapp.com/#9,charts,0.0,100.0
dengc,megahenry,http://greenironhack-dengc-2016.herokuapp.com/#1,http://greenironhack-megahenry-2016.herokuapp.com/#1,charts,90.8,34.9
dengc,lostkuma,http://greenironhack-dengc-2016.herokuapp.com/#1,http://lostkuma.herokuapp.com/#1,charts,74.6,35.3
dengc,lostkuma,http://greenironhack-dengc-2016.herokuapp.com/#1,http://lostkuma.herokuapp.com/#2,charts,74.6,37.7
