username1,username2,link1,link2,average_distance,distance_between_averages
megamindhenry,abelal16,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-abelal16.herokuapp.com/index.html,,
megamindhenry,ankitbatheja,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-ankitbatheja.herokuapp.com/index.html,,
megamindhenry,aterriqu,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,49.92943527096446,13.692017445285906
megamindhenry,ccand93,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-ccand93.herokuapp.com,,
megamindhenry,cgrieger12,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
megamindhenry,dengc,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-dengc.herokuapp.com/index.html,,
megamindhenry,huayifang,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-huayifang.herokuapp.com/index.html,,
megamindhenry,ishwetasingh,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
megamindhenry,lheston,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-lheston.herokuapp.com/index.html,,
megamindhenry,lostkuma,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,,
megamindhenry,meetalivaidya,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,49.55364557909641,11.194213820901416
megamindhenry,megamindhenry,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,69.47085109258728,0
megamindhenry,pjt90,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,49.76365083123528,12.602142485689845
megamindhenry,pmittal115,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,50.332758797337945,14.692233991098396
megamindhenry,prachitamane,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-prachitamane.herokuapp.com/index.html,,
megamindhenry,sauravn,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-sauravn.herokuapp.com/index.html,,
megamindhenry,shiboo18,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-shiboo18.herokuapp.com/ProjectFiles,,
megamindhenry,tanmayee123,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,49.76365083123528,12.602142485689845
megamindhenry,taycurt17,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-taycurt17.herokuapp.com/public_html/map.html,50.38840079583315,10.20158277279203
megamindhenry,wluan,http://greenironhack2016.herokuapp.com/p2-MegamindHenry/index.html,http://greenironhack-wluan.herokuapp.com/d3.html,,
abelal16,abelal16,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-abelal16.herokuapp.com/index.html,,
abelal16,ankitbatheja,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-ankitbatheja.herokuapp.com/index.html,,
abelal16,aterriqu,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-aterriqu.herokuapp.com/Phase%203%20map.html,,
abelal16,ccand93,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-ccand93.herokuapp.com,,
abelal16,cgrieger12,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-cgrieger12.herokuapp.com/index.html,,
abelal16,dengc,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-dengc.herokuapp.com/index.html,,
abelal16,huayifang,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-huayifang.herokuapp.com/index.html,,
abelal16,ishwetasingh,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-ishwetasingh.herokuapp.com/HelloWorld.html,,
abelal16,lheston,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-lheston.herokuapp.com/index.html,,
abelal16,lostkuma,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-lostkuma.herokuapp.com/index.html,,
abelal16,meetalivaidya,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-meetalivaidya.herokuapp.com/index.html,,
abelal16,megamindhenry,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-megamindhenry.herokuapp.com/index.html,,
abelal16,pjt90,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-pjt90.herokuapp.com/FreshVeggies,,
abelal16,pmittal115,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-pmittal115.herokuapp.com/index.html,,
abelal16,prachitamane,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-prachitamane.herokuapp.com/index.html,,
abelal16,sauravn,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-sauravn.herokuapp.com/index.html,,
abelal16,shiboo18,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-shiboo18.herokuapp.com/ProjectFiles,,
abelal16,tanmayee123,http://greenironhack2016.herokuapp.com/p2-abelal16/index.html,http://greenironhack-tanmayee123.herokuapp.com/index.html,,
