username1,username2,link1,link2,comparison_type,ssim,features2d
crloflin,abatheja,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,maps,90.7,48.9
crloflin,abelal16,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,65.0,55.8
crloflin,aterriqu,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,65.0,59.3
crloflin,crloflin,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,34.1,54.3
crloflin,ishtasingh,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,65.0,100.0
crloflin,jkeilmann,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,65.0,67.8
crloflin,megahenry,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-megahenry-2016.herokuapp.com/,maps,65.0,60.0
crloflin,mvaidya,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,63.4,64.2
crloflin,pjt90,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-pjt90-2016.herokuapp.com/,maps,65.0,55.5
crloflin,prachimane,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-prachimane-2016.herokuapp.com/,maps,65.0,100.0
crloflin,tanmayee123,http://greenironhack-crloflin.herokuapp.com/test.html,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,65.0,65.1
crloflin,lostkuma,http://greenironhack-crloflin.herokuapp.com/test.html,http://lostkuma.herokuapp.com/,maps,65.0,70.7
crloflin,sauravn,http://greenironhack-crloflin.herokuapp.com/test.html,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
lostkuma,abatheja,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,maps,97.3,78.5
lostkuma,abelal16,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,99.1,89.4
lostkuma,aterriqu,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-aterriqu-2016.herokuapp.com/,maps,97.7,67.5
lostkuma,crloflin,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-crloflin-2016.herokuapp.com/,maps,55.0,84.3
lostkuma,ishtasingh,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-ishtasingh-2016.herokuapp.com/,maps,99.7,100.0
lostkuma,jkeilmann,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-jkeilmann-2016.herokuapp.com/,maps,99.0,95.4
lostkuma,megahenry,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-megahenry-2016.herokuapp.com/,maps,98.7,91.5
lostkuma,mvaidya,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-mvaidya-2016.herokuapp.com/,maps,97.7,93.2
lostkuma,pjt90,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-pjt90-2016.herokuapp.com/,maps,99.4,87.7
lostkuma,prachimane,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-prachimane-2016.herokuapp.com/,maps,99.0,100.0
lostkuma,tanmayee123,http://greenironhack-lostkuma.herokuapp.com/index.html,http://greenironhack-tanmayee123-2016.herokuapp.com/,maps,99.4,93.2
lostkuma,lostkuma,http://greenironhack-lostkuma.herokuapp.com/index.html,http://lostkuma.herokuapp.com/,maps,99.7,100.0
lostkuma,sauravn,http://greenironhack-lostkuma.herokuapp.com/index.html,http://sauravn-application.herokuapp.com/,maps,ERROR,100.0
meetalivaidya,abatheja,http://greenironhack-meetalivaidya.herokuapp.com/index.html,http://greenironhack-abatheja-2016.herokuapp.com/vendor.html,maps,97.0,69.8
meetalivaidya,abelal16,http://greenironhack-meetalivaidya.herokuapp.com/index.html,http://greenironhack-abelal16-2016.herokuapp.com/,maps,96.3,80.3
